Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2007Q4,Baggage Allowance,23
04/09/2012 14:30,2007Q4,Cancellations,440
04/09/2012 14:30,2007Q4,Check-in problems,15
04/09/2012 14:30,2007Q4,Delays,204
04/09/2012 14:30,2007Q4,Denied Boarding,76
04/09/2012 14:30,2007Q4,Diverted Flight,15
04/09/2012 14:30,2007Q4,Documents,7
04/09/2012 14:30,2007Q4,Fares,13
04/09/2012 14:30,2007Q4,Ground Services,26
04/09/2012 14:30,2007Q4,In-flight Services,25
04/09/2012 14:30,2007Q4,Mishandled baggage,133
04/09/2012 14:30,2007Q4,Missed connections,30
04/09/2012 14:30,2007Q4,Missed departure,0
04/09/2012 14:30,2007Q4,Other,30
04/09/2012 14:30,2007Q4,Reservation Issues,69
04/09/2012 14:30,2007Q4,Schedule Changes,25
04/09/2012 14:30,2007Q4,Seating,27
04/09/2012 14:30,2007Q4,Security,15
04/09/2012 14:30,2007Q4,Special Needs,11
04/09/2012 14:30,2007Q4,"Taxes, fees and charges",12
04/09/2012 14:30,2007Q4,Ticketing / refund,55
04/09/2012 14:30,2007Q4,TOTAL,1251
