Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2008Q2,Baggage Allowance,39
04/09/2012 14:30,2008Q2,Cancellations,596
04/09/2012 14:30,2008Q2,Check-in problems,16
04/09/2012 14:30,2008Q2,Delays,200
04/09/2012 14:30,2008Q2,Denied Boarding,67
04/09/2012 14:30,2008Q2,Diverted Flight,23
04/09/2012 14:30,2008Q2,Documents,11
04/09/2012 14:30,2008Q2,Fares,14
04/09/2012 14:30,2008Q2,Ground Services,14
04/09/2012 14:30,2008Q2,In-flight Services,36
04/09/2012 14:30,2008Q2,Mishandled baggage,163
04/09/2012 14:30,2008Q2,Missed connections,38
04/09/2012 14:30,2008Q2,Missed departure,23
04/09/2012 14:30,2008Q2,Other,44
04/09/2012 14:30,2008Q2,Reservation Issues,112
04/09/2012 14:30,2008Q2,Schedule Changes,40
04/09/2012 14:30,2008Q2,Seating,39
04/09/2012 14:30,2008Q2,Security,9
04/09/2012 14:30,2008Q2,Special Needs,17
04/09/2012 14:30,2008Q2,"Taxes, fees and charges",10
04/09/2012 14:30,2008Q2,Ticketing / refund,72
04/09/2012 14:30,2008Q2,TOTAL,1583
