Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2008Q1,Baggage Allowance,36
04/09/2012 14:30,2008Q1,Cancellations,492
04/09/2012 14:30,2008Q1,Check-in problems,18
04/09/2012 14:30,2008Q1,Delays,170
04/09/2012 14:30,2008Q1,Denied Boarding,73
04/09/2012 14:30,2008Q1,Diverted Flight,18
04/09/2012 14:30,2008Q1,Documents,15
04/09/2012 14:30,2008Q1,Fares,13
04/09/2012 14:30,2008Q1,Ground Services,15
04/09/2012 14:30,2008Q1,In-flight Services,37
04/09/2012 14:30,2008Q1,Mishandled baggage,184
04/09/2012 14:30,2008Q1,Missed connections,38
04/09/2012 14:30,2008Q1,Missed departure,3
04/09/2012 14:30,2008Q1,Other,35
04/09/2012 14:30,2008Q1,Reservation Issues,87
04/09/2012 14:30,2008Q1,Schedule Changes,28
04/09/2012 14:30,2008Q1,Seating,23
04/09/2012 14:30,2008Q1,Security,11
04/09/2012 14:30,2008Q1,Special Needs,13
04/09/2012 14:30,2008Q1,"Taxes, fees and charges",7
04/09/2012 14:30,2008Q1,Ticketing / refund,72
04/09/2012 14:30,2008Q1,TOTAL,1388
