Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2010Q2,Baggage Allowance,30
04/09/2012 14:30,2010Q2,Cancellations,1778
04/09/2012 14:30,2010Q2,Check-in problems,10
04/09/2012 14:30,2010Q2,Delays,387
04/09/2012 14:30,2010Q2,Denied Boarding,72
04/09/2012 14:30,2010Q2,Diverted Flight,36
04/09/2012 14:30,2010Q2,Documents,21
04/09/2012 14:30,2010Q2,Fares,6
04/09/2012 14:30,2010Q2,Ground Services,28
04/09/2012 14:30,2010Q2,In-flight Services,41
04/09/2012 14:30,2010Q2,Mishandled baggage,119
04/09/2012 14:30,2010Q2,Missed connections,26
04/09/2012 14:30,2010Q2,Missed departure,44
04/09/2012 14:30,2010Q2,Other,42
04/09/2012 14:30,2010Q2,Reservation Issues,115
04/09/2012 14:30,2010Q2,Schedule Changes,23
04/09/2012 14:30,2010Q2,Seating,15
04/09/2012 14:30,2010Q2,Security,2
04/09/2012 14:30,2010Q2,Special Needs,5
04/09/2012 14:30,2010Q2,"Taxes, fees and charges",8
04/09/2012 14:30,2010Q2,Ticketing / refund,61
04/09/2012 14:30,2010Q2,TOTAL,2869
