Run_Date,Quarter,Complaint Reason,Nr of Complaints
26/11/2012 13:40,2012Q3,Baggage Allowance,63
27/11/2012 13:40,2012Q3,Cancellations,330
28/11/2012 13:40,2012Q3,Check-in problems,23
29/11/2012 13:40,2012Q3,Delays,598
30/11/2012 13:40,2012Q3,Denied Boarding,93
01/12/2012 13:40,2012Q3,Diverted Flight,38
02/12/2012 13:40,2012Q3,Documents,18
03/12/2012 13:40,2012Q3,Fares,8
04/12/2012 13:40,2012Q3,Ground Services,5
05/12/2012 13:40,2012Q3,In-flight Services,29
06/12/2012 13:40,2012Q3,Mishandled baggage,131
07/12/2012 13:40,2012Q3,Missed connections,51
08/12/2012 13:40,2012Q3,Missed departure,39
09/12/2012 13:40,2012Q3,Other,41
10/12/2012 13:40,2012Q3,Reservation Issues,104
11/12/2012 13:40,2012Q3,Schedule Changes,36
12/12/2012 13:40,2012Q3,Seating,32
13/12/2012 13:40,2012Q3,Security,4
14/12/2012 13:40,2012Q3,Special Needs,34
15/12/2012 13:40,2012Q3,"Taxes, fees and charges",16
16/12/2012 13:40,2012Q3,Ticketing / refund,68
17/12/2012 13:40,2012Q3,TOTAL,1761
