Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2011Q3,Baggage Allowance,40
04/09/2012 14:30,2011Q3,Cancellations,441
04/09/2012 14:30,2011Q3,Check-in problems,19
04/09/2012 14:30,2011Q3,Delays,412
04/09/2012 14:30,2011Q3,Denied Boarding,68
04/09/2012 14:30,2011Q3,Diverted Flight,38
04/09/2012 14:30,2011Q3,Documents,13
04/09/2012 14:30,2011Q3,Fares,5
04/09/2012 14:30,2011Q3,Ground Services,10
04/09/2012 14:30,2011Q3,In-flight Services,24
04/09/2012 14:30,2011Q3,Mishandled baggage,110
04/09/2012 14:30,2011Q3,Missed connections,41
04/09/2012 14:30,2011Q3,Missed departure,60
04/09/2012 14:30,2011Q3,Other,31
04/09/2012 14:30,2011Q3,Reservation Issues,76
04/09/2012 14:30,2011Q3,Schedule Changes,15
04/09/2012 14:30,2011Q3,Seating,13
04/09/2012 14:30,2011Q3,Security,5
04/09/2012 14:30,2011Q3,Special Needs,8
04/09/2012 14:30,2011Q3,"Taxes, fees and charges",19
04/09/2012 14:30,2011Q3,Ticketing / refund,51
04/09/2012 14:30,2011Q3,TOTAL,1499
