Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2012Q2,Baggage Allowance,39
04/09/2012 14:30,2012Q2,Cancellations,333
04/09/2012 14:30,2012Q2,Check-in problems,19
04/09/2012 14:30,2012Q2,Delays,337
04/09/2012 14:30,2012Q2,Denied Boarding,60
04/09/2012 14:30,2012Q2,Diverted Flight,32
04/09/2012 14:30,2012Q2,Documents,26
04/09/2012 14:30,2012Q2,Fares,5
04/09/2012 14:30,2012Q2,Ground Services,7
04/09/2012 14:30,2012Q2,In-flight Services,32
04/09/2012 14:30,2012Q2,Mishandled baggage,114
04/09/2012 14:30,2012Q2,Missed connections,42
04/09/2012 14:30,2012Q2,Missed departure,49
04/09/2012 14:30,2012Q2,Other,53
04/09/2012 14:30,2012Q2,Reservation Issues,88
04/09/2012 14:30,2012Q2,Schedule Changes,33
04/09/2012 14:30,2012Q2,Seating,20
04/09/2012 14:30,2012Q2,Security,1
04/09/2012 14:30,2012Q2,Special Needs,16
04/09/2012 14:30,2012Q2,"Taxes, fees and charges",18
04/09/2012 14:30,2012Q2,Ticketing / refund,47
04/09/2012 14:30,2012Q2,TOTAL,1371
