Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2011Q2,Baggage Allowance,34
04/09/2012 14:30,2011Q2,Cancellations,623
04/09/2012 14:30,2011Q2,Check-in problems,11
04/09/2012 14:30,2011Q2,Delays,283
04/09/2012 14:30,2011Q2,Denied Boarding,72
04/09/2012 14:30,2011Q2,Diverted Flight,26
04/09/2012 14:30,2011Q2,Documents,14
04/09/2012 14:30,2011Q2,Fares,4
04/09/2012 14:30,2011Q2,Ground Services,7
04/09/2012 14:30,2011Q2,In-flight Services,32
04/09/2012 14:30,2011Q2,Mishandled baggage,113
04/09/2012 14:30,2011Q2,Missed connections,38
04/09/2012 14:30,2011Q2,Missed departure,42
04/09/2012 14:30,2011Q2,Other,20
04/09/2012 14:30,2011Q2,Reservation Issues,91
04/09/2012 14:30,2011Q2,Schedule Changes,25
04/09/2012 14:30,2011Q2,Seating,14
04/09/2012 14:30,2011Q2,Security,11
04/09/2012 14:30,2011Q2,Special Needs,7
04/09/2012 14:30,2011Q2,"Taxes, fees and charges",11
04/09/2012 14:30,2011Q2,Ticketing / refund,71
04/09/2012 14:30,2011Q2,TOTAL,1549
