Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2011Q4,Baggage Allowance,48
04/09/2012 14:30,2011Q4,Cancellations,319
04/09/2012 14:30,2011Q4,Check-in problems,12
04/09/2012 14:30,2011Q4,Delays,349
04/09/2012 14:30,2011Q4,Denied Boarding,53
04/09/2012 14:30,2011Q4,Diverted Flight,32
04/09/2012 14:30,2011Q4,Documents,13
04/09/2012 14:30,2011Q4,Fares,3
04/09/2012 14:30,2011Q4,Ground Services,12
04/09/2012 14:30,2011Q4,In-flight Services,17
04/09/2012 14:30,2011Q4,Mishandled baggage,137
04/09/2012 14:30,2011Q4,Missed connections,43
04/09/2012 14:30,2011Q4,Missed departure,43
04/09/2012 14:30,2011Q4,Other,19
04/09/2012 14:30,2011Q4,Reservation Issues,76
04/09/2012 14:30,2011Q4,Schedule Changes,15
04/09/2012 14:30,2011Q4,Seating,21
04/09/2012 14:30,2011Q4,Security,14
04/09/2012 14:30,2011Q4,Special Needs,4
04/09/2012 14:30,2011Q4,"Taxes, fees and charges",5
04/09/2012 14:30,2011Q4,Ticketing / refund,50
04/09/2012 14:30,2011Q4,TOTAL,1285
