Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2010Q3,Baggage Allowance,51
04/09/2012 14:30,2010Q3,Cancellations,2674
04/09/2012 14:30,2010Q3,Check-in problems,40
04/09/2012 14:30,2010Q3,Delays,784
04/09/2012 14:30,2010Q3,Denied Boarding,95
04/09/2012 14:30,2010Q3,Diverted Flight,36
04/09/2012 14:30,2010Q3,Documents,15
04/09/2012 14:30,2010Q3,Fares,7
04/09/2012 14:30,2010Q3,Ground Services,33
04/09/2012 14:30,2010Q3,In-flight Services,35
04/09/2012 14:30,2010Q3,Mishandled baggage,126
04/09/2012 14:30,2010Q3,Missed connections,41
04/09/2012 14:30,2010Q3,Missed departure,57
04/09/2012 14:30,2010Q3,Other,51
04/09/2012 14:30,2010Q3,Reservation Issues,120
04/09/2012 14:30,2010Q3,Schedule Changes,39
04/09/2012 14:30,2010Q3,Seating,21
04/09/2012 14:30,2010Q3,Security,4
04/09/2012 14:30,2010Q3,Special Needs,8
04/09/2012 14:30,2010Q3,"Taxes, fees and charges",14
04/09/2012 14:30,2010Q3,Ticketing / refund,119
04/09/2012 14:30,2010Q3,TOTAL,4370
