Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2007Q3,Baggage Allowance,36
04/09/2012 14:30,2007Q3,Cancellations,602
04/09/2012 14:30,2007Q3,Check-in problems,20
04/09/2012 14:30,2007Q3,Delays,305
04/09/2012 14:30,2007Q3,Denied Boarding,73
04/09/2012 14:30,2007Q3,Diverted Flight,46
04/09/2012 14:30,2007Q3,Documents,12
04/09/2012 14:30,2007Q3,Fares,16
04/09/2012 14:30,2007Q3,Ground Services,35
04/09/2012 14:30,2007Q3,In-flight Services,34
04/09/2012 14:30,2007Q3,Mishandled baggage,168
04/09/2012 14:30,2007Q3,Missed connections,30
04/09/2012 14:30,2007Q3,Missed departure,2
04/09/2012 14:30,2007Q3,Other,39
04/09/2012 14:30,2007Q3,Reservation Issues,78
04/09/2012 14:30,2007Q3,Schedule Changes,26
04/09/2012 14:30,2007Q3,Seating,30
04/09/2012 14:30,2007Q3,Security,11
04/09/2012 14:30,2007Q3,Special Needs,19
04/09/2012 14:30,2007Q3,"Taxes, fees and charges",10
04/09/2012 14:30,2007Q3,Ticketing / refund,62
04/09/2012 14:30,2007Q3,TOTAL,1654
