Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2009Q1,Baggage Allowance,46
04/09/2012 14:30,2009Q1,Cancellations,409
04/09/2012 14:30,2009Q1,Check-in problems,12
04/09/2012 14:30,2009Q1,Delays,188
04/09/2012 14:30,2009Q1,Denied Boarding,58
04/09/2012 14:30,2009Q1,Diverted Flight,43
04/09/2012 14:30,2009Q1,Documents,23
04/09/2012 14:30,2009Q1,Fares,12
04/09/2012 14:30,2009Q1,Ground Services,12
04/09/2012 14:30,2009Q1,In-flight Services,18
04/09/2012 14:30,2009Q1,Mishandled baggage,141
04/09/2012 14:30,2009Q1,Missed connections,35
04/09/2012 14:30,2009Q1,Missed departure,38
04/09/2012 14:30,2009Q1,Other,36
04/09/2012 14:30,2009Q1,Reservation Issues,67
04/09/2012 14:30,2009Q1,Schedule Changes,31
04/09/2012 14:30,2009Q1,Seating,15
04/09/2012 14:30,2009Q1,Security,10
04/09/2012 14:30,2009Q1,Special Needs,8
04/09/2012 14:30,2009Q1,"Taxes, fees and charges",32
04/09/2012 14:30,2009Q1,Ticketing / refund,57
04/09/2012 14:30,2009Q1,TOTAL,1291
