Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2009Q3,Baggage Allowance,70
04/09/2012 14:30,2009Q3,Cancellations,380
04/09/2012 14:30,2009Q3,Check-in problems,45
04/09/2012 14:30,2009Q3,Delays,235
04/09/2012 14:30,2009Q3,Denied Boarding,70
04/09/2012 14:30,2009Q3,Diverted Flight,19
04/09/2012 14:30,2009Q3,Documents,26
04/09/2012 14:30,2009Q3,Fares,9
04/09/2012 14:30,2009Q3,Ground Services,17
04/09/2012 14:30,2009Q3,In-flight Services,39
04/09/2012 14:30,2009Q3,Mishandled baggage,104
04/09/2012 14:30,2009Q3,Missed connections,37
04/09/2012 14:30,2009Q3,Missed departure,50
04/09/2012 14:30,2009Q3,Other,39
04/09/2012 14:30,2009Q3,Reservation Issues,97
04/09/2012 14:30,2009Q3,Schedule Changes,27
04/09/2012 14:30,2009Q3,Seating,26
04/09/2012 14:30,2009Q3,Security,16
04/09/2012 14:30,2009Q3,Special Needs,11
04/09/2012 14:30,2009Q3,"Taxes, fees and charges",21
04/09/2012 14:30,2009Q3,Ticketing / refund,74
04/09/2012 14:30,2009Q3,TOTAL,1412
