Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2011Q1,Baggage Allowance,40
04/09/2012 14:30,2011Q1,Cancellations,1114
04/09/2012 14:30,2011Q1,Check-in problems,9
04/09/2012 14:30,2011Q1,Delays,294
04/09/2012 14:30,2011Q1,Denied Boarding,81
04/09/2012 14:30,2011Q1,Diverted Flight,45
04/09/2012 14:30,2011Q1,Documents,13
04/09/2012 14:30,2011Q1,Fares,5
04/09/2012 14:30,2011Q1,Ground Services,8
04/09/2012 14:30,2011Q1,In-flight Services,27
04/09/2012 14:30,2011Q1,Mishandled baggage,175
04/09/2012 14:30,2011Q1,Missed connections,43
04/09/2012 14:30,2011Q1,Missed departure,25
04/09/2012 14:30,2011Q1,Other,33
04/09/2012 14:30,2011Q1,Reservation Issues,73
04/09/2012 14:30,2011Q1,Schedule Changes,24
04/09/2012 14:30,2011Q1,Seating,19
04/09/2012 14:30,2011Q1,Security,6
04/09/2012 14:30,2011Q1,Special Needs,9
04/09/2012 14:30,2011Q1,"Taxes, fees and charges",9
04/09/2012 14:30,2011Q1,Ticketing / refund,49
04/09/2012 14:30,2011Q1,TOTAL,2101
