Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2010Q1,Baggage Allowance,40
04/09/2012 14:30,2010Q1,Cancellations,1140
04/09/2012 14:30,2010Q1,Check-in problems,23
04/09/2012 14:30,2010Q1,Delays,494
04/09/2012 14:30,2010Q1,Denied Boarding,70
04/09/2012 14:30,2010Q1,Diverted Flight,52
04/09/2012 14:30,2010Q1,Documents,15
04/09/2012 14:30,2010Q1,Fares,14
04/09/2012 14:30,2010Q1,Ground Services,16
04/09/2012 14:30,2010Q1,In-flight Services,40
04/09/2012 14:30,2010Q1,Mishandled baggage,189
04/09/2012 14:30,2010Q1,Missed connections,63
04/09/2012 14:30,2010Q1,Missed departure,55
04/09/2012 14:30,2010Q1,Other,39
04/09/2012 14:30,2010Q1,Reservation Issues,119
04/09/2012 14:30,2010Q1,Schedule Changes,30
04/09/2012 14:30,2010Q1,Seating,11
04/09/2012 14:30,2010Q1,Security,11
04/09/2012 14:30,2010Q1,Special Needs,5
04/09/2012 14:30,2010Q1,"Taxes, fees and charges",11
04/09/2012 14:30,2010Q1,Ticketing / refund,63
04/09/2012 14:30,2010Q1,TOTAL,2500
