Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2007Q2,Baggage Allowance,38
04/09/2012 14:30,2007Q2,Cancellations,458
04/09/2012 14:30,2007Q2,Check-in problems,15
04/09/2012 14:30,2007Q2,Delays,198
04/09/2012 14:30,2007Q2,Denied Boarding,75
04/09/2012 14:30,2007Q2,Diverted Flight,25
04/09/2012 14:30,2007Q2,Documents,10
04/09/2012 14:30,2007Q2,Fares,14
04/09/2012 14:30,2007Q2,Ground Services,27
04/09/2012 14:30,2007Q2,In-flight Services,24
04/09/2012 14:30,2007Q2,Mishandled baggage,140
04/09/2012 14:30,2007Q2,Missed connections,27
04/09/2012 14:30,2007Q2,Missed departure,0
04/09/2012 14:30,2007Q2,Other,30
04/09/2012 14:30,2007Q2,Reservation Issues,83
04/09/2012 14:30,2007Q2,Schedule Changes,21
04/09/2012 14:30,2007Q2,Seating,25
04/09/2012 14:30,2007Q2,Security,14
04/09/2012 14:30,2007Q2,Special Needs,15
04/09/2012 14:30,2007Q2,"Taxes, fees and charges",3
04/09/2012 14:30,2007Q2,Ticketing / refund,52
04/09/2012 14:30,2007Q2,TOTAL,1294
