Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2012Q1,Baggage Allowance,57
04/09/2012 14:30,2012Q1,Cancellations,317
04/09/2012 14:30,2012Q1,Check-in problems,3
04/09/2012 14:30,2012Q1,Delays,273
04/09/2012 14:30,2012Q1,Denied Boarding,73
04/09/2012 14:30,2012Q1,Diverted Flight,35
04/09/2012 14:30,2012Q1,Documents,17
04/09/2012 14:30,2012Q1,Fares,4
04/09/2012 14:30,2012Q1,Ground Services,10
04/09/2012 14:30,2012Q1,In-flight Services,24
04/09/2012 14:30,2012Q1,Mishandled baggage,117
04/09/2012 14:30,2012Q1,Missed connections,57
04/09/2012 14:30,2012Q1,Missed departure,43
04/09/2012 14:30,2012Q1,Other,23
04/09/2012 14:30,2012Q1,Reservation Issues,63
04/09/2012 14:30,2012Q1,Schedule Changes,27
04/09/2012 14:30,2012Q1,Seating,15
04/09/2012 14:30,2012Q1,Security,10
04/09/2012 14:30,2012Q1,Special Needs,9
04/09/2012 14:30,2012Q1,"Taxes, fees and charges",9
04/09/2012 14:30,2012Q1,Ticketing / refund,53
04/09/2012 14:30,2012Q1,TOTAL,1239
