Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2009Q4,Baggage Allowance,54
04/09/2012 14:30,2009Q4,Cancellations,333
04/09/2012 14:30,2009Q4,Check-in problems,28
04/09/2012 14:30,2009Q4,Delays,164
04/09/2012 14:30,2009Q4,Denied Boarding,81
04/09/2012 14:30,2009Q4,Diverted Flight,18
04/09/2012 14:30,2009Q4,Documents,20
04/09/2012 14:30,2009Q4,Fares,6
04/09/2012 14:30,2009Q4,Ground Services,8
04/09/2012 14:30,2009Q4,In-flight Services,27
04/09/2012 14:30,2009Q4,Mishandled baggage,115
04/09/2012 14:30,2009Q4,Missed connections,32
04/09/2012 14:30,2009Q4,Missed departure,40
04/09/2012 14:30,2009Q4,Other,34
04/09/2012 14:30,2009Q4,Reservation Issues,90
04/09/2012 14:30,2009Q4,Schedule Changes,22
04/09/2012 14:30,2009Q4,Seating,22
04/09/2012 14:30,2009Q4,Security,17
04/09/2012 14:30,2009Q4,Special Needs,11
04/09/2012 14:30,2009Q4,"Taxes, fees and charges",15
04/09/2012 14:30,2009Q4,Ticketing / refund,64
04/09/2012 14:30,2009Q4,TOTAL,1201
