Run_Date,Quarter,Complaint Reason,Nr of Complaints
22/02/2013 11:30,2012Q4,Baggage Allowance,52
22/02/2013 11:30,2012Q4,Cancellations,369
22/02/2013 11:30,2012Q4,Check-in problems,11
22/02/2013 11:30,2012Q4,Delays,1341
22/02/2013 11:30,2012Q4,Denied Boarding,93
22/02/2013 11:30,2012Q4,Diverted Flight,41
22/02/2013 11:30,2012Q4,Documents,6
22/02/2013 11:30,2012Q4,Fares,6
22/02/2013 11:30,2012Q4,Ground Services,7
22/02/2013 11:30,2012Q4,In-flight Services,28
22/02/2013 11:30,2012Q4,Mishandled baggage,118
22/02/2013 11:30,2012Q4,Missed connections,48
22/02/2013 11:30,2012Q4,Missed departure,30
22/02/2013 11:30,2012Q4,Other,44
22/02/2013 11:30,2012Q4,Reservation Issues,69
22/02/2013 11:30,2012Q4,Schedule Changes,21
22/02/2013 11:30,2012Q4,Seating,23
22/02/2013 11:30,2012Q4,Security,4
22/02/2013 11:30,2012Q4,Special Needs,47
22/02/2013 11:30,2012Q4,"Taxes, fees and charges",12
22/02/2013 11:30,2012Q4,Ticketing / refund,59
22/02/2013 11:30,2012Q4,TOTAL,2429
